P-Strategy D-H13 D-S13 D-H14 D-S14 D-H15 D-S15 D-H16 D-S16 D-H17 D-S17 D-H18 D-S18 D-H19 D-S19 D-H20 D-S20
P-H13 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 1
P-S13 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0
P-H14 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 1
P-S14 0 1 0 0 1 0 0 1 1 0 0 1 0 1 0 1
P-H15 1 1 1 1 0 1 0 1 1 0 0 0 1 0 0 0
P-S15 1 0 0 1 1 0 0 1 1 0 1 1 1 0 1 1
P-H16 1 1 0 1 1 0 0 1 1 0 0 0 0 1 0 1
P-S16 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0
P-H17 1 0 0 1 1 1 1 0 0 1 1 0 0 0 0 1
P-S17 0 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1
P-H18 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0
P-S18 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0
P-H19 1 1 0 0 1 0 0 1 0 1 0 1 0 1 0 0
P-S19 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0
P-H20 0 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0
P-S20 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
