P-Strategy D-H13 D-S13 D-H14 D-S14 D-H15 D-S15 D-H16 D-S16 D-H17 D-S17 D-H18 D-S18 D-H19 D-S19 D-H20 D-S20
P-H13 21 23 22 18 24 24 22 24 22 21 26 24 23 31 32 31
P-S13 26 24 19 20 24 21 19 20 18 24 24 19 36 22 33 32
P-H14 21 23 27 18 22 26 17 16 19 21 23 20 23 22 26 29
P-S14 25 20 21 24 21 16 24 22 22 17 22 20 31 25 33 31
P-H15 15 31 18 30 20 23 22 24 17 19 22 20 19 23 27 27
P-S15 26 29 28 19 29 22 24 19 21 26 18 24 24 25 22 26
P-H16 25 21 19 28 19 24 19 17 23 27 18 17 21 22 24 24
P-S16 27 30 24 25 19 25 23 16 9 23 21 18 25 22 26 25
P-H17 27 29 18 21 22 20 23 18 22 22 18 16 19 18 19 18
P-S17 25 20 23 25 23 21 24 17 21 23 18 21 21 23 20 25
P-H18 24 24 17 22 21 21 19 23 21 23 22 20 16 9 24 18
P-S18 27 29 21 23 26 20 24 23 20 20 13 20 19 17 25 20
P-H19 21 26 18 24 17 22 14 13 18 14 23 20 16 11 18 17
P-S19 26 24 16 21 18 18 21 11 18 12 20 17 18 11 13 17
P-H20 16 17 17 18 16 13 15 16 13 13 13 11 10 15 21 12
P-S20 12 15 12 18 16 15 22 13 13 15 16 12 17 11 13 13
