P-Strategy D-H13 D-S13 D-H14 D-S14 D-H15 D-S15 D-H16 D-S16 D-H17 D-S17 D-H18 D-S18 D-H19 D-S19 D-H20 D-S20
P-H13 21 25 24 19 23 22 21 21 21 25 22 23 22 25 36 34
P-S13 20 20 26 18 23 21 23 22 20 21 25 23 34 32 32 32
P-H14 21 26 22 22 23 19 20 18 22 23 21 23 28 28 30 29
P-S14 25 26 26 16 18 17 23 20 20 22 21 16 19 29 32 23
P-H15 27 28 28 30 19 23 21 21 21 20 20 13 22 23 26 28
P-S15 27 26 27 30 18 23 20 23 13 22 23 19 25 26 27 26
P-H16 25 28 25 25 21 24 21 21 23 18 19 17 18 21 25 27
P-S16 23 24 23 26 19 21 21 21 18 22 20 17 23 27 27 33
P-H17 24 30 18 23 20 22 22 18 23 25 16 25 24 26 20 18
P-S17 26 21 21 26 24 19 23 20 17 20 17 24 24 24 24 23
P-H18 23 19 17 24 17 24 19 22 18 11 18 13 22 15 23 21
P-S18 25 31 26 17 28 20 18 20 28 22 14 21 26 22 20 17
P-H19 14 18 12 20 16 23 16 22 23 13 13 22 19 13 19 20
P-S19 21 26 17 19 14 21 17 22 12 19 15 17 17 23 18 21
P-H20 13 15 9 16 15 16 15 15 17 14 9 20 16 21 15 7
P-S20 18 18 18 7 18 13 13 19 21 17 10 21 15 9 15 18
