P-Strategy D-H13 D-S13 D-H14 D-S14 D-H15 D-S15 D-H16 D-S16 D-H17 D-S17 D-H18 D-S18 D-H19 D-S19 D-H20 D-S20
P-H13 4 5 4 8 3 3 5 8 5 5 3 3 3 6 6 9
P-S13 4 5 2 3 6 5 5 5 2 4 3 6 6 6 6 6
P-H14 3 4 3 3 4 5 2 5 4 3 2 4 7 5 7 5
P-S14 5 2 5 5 6 4 1 5 5 4 3 4 6 6 5 7
P-H15 3 5 3 2 4 3 5 5 4 6 4 5 7 6 6 6
P-S15 7 4 5 7 5 4 7 5 2 7 3 6 5 7 6 6
P-H16 4 4 5 5 6 4 3 5 8 2 7 4 5 6 8 3
P-S16 7 7 4 3 2 7 6 6 4 3 5 3 8 5 5 6
P-H17 4 5 5 5 5 6 6 4 3 5 3 4 3 3 3 1
P-S17 7 4 3 3 5 5 5 5 4 6 3 4 5 4 6 10
P-H18 3 5 6 2 8 4 2 5 4 8 5 2 1 7 5 3
P-S18 7 5 5 4 6 6 2 4 2 2 2 4 4 3 3 2
P-H19 5 4 3 5 3 4 3 3 2 6 1 4 2 5 2 1
P-S19 4 2 7 3 2 4 3 2 4 4 2 2 3 5 5 2
P-H20 1 2 2 3 2 5 3 3 3 3 1 3 2 2 5 2
P-S20 3 2 4 4 5 4 2 3 3 4 2 5 5 2 5 3
