Strategy 13 14 15 16 17 18 19 20 21 Bust
H13 11 9 12 9 13 4 8 15 16 3
S13 7 13 14 9 6 10 12 15 10 4
H14 0 10 13 12 6 14 9 20 8 8
S14 0 14 12 17 9 14 5 12 7 10
H15 0 0 14 15 13 10 5 15 8 20
S15 0 0 10 14 13 14 11 19 6 13
H16 0 0 0 13 12 14 10 19 14 18
S16 0 0 0 23 14 15 11 15 8 14
H17 0 0 0 0 9 14 12 24 11 30
S17 0 0 0 0 22 6 17 19 9 27
H18 0 0 0 0 0 14 15 10 16 45
S18 0 0 0 0 0 18 16 21 14 31
H19 0 0 0 0 0 0 19 21 21 39
S19 0 0 0 0 0 0 19 19 15 47
H20 0 0 0 0 0 0 0 28 20 52
S20 0 0 0 0 0 0 0 24 7 69
