Strategy 13 14 15 16 17 18 19 20 21 Bust
H13 14 15 8 13 11 9 13 10 3 4
S13 16 4 10 6 4 9 12 20 10 9
H14 0 16 8 10 12 12 6 16 14 6
S14 0 8 9 11 14 10 9 20 5 14
H15 0 0 12 10 18 10 12 11 8 19
S15 0 0 12 11 16 8 9 17 12 15
H16 0 0 0 9 15 15 15 21 10 15
S16 0 0 0 17 13 13 16 7 9 25
H17 0 0 0 0 15 12 16 20 11 26
S17 0 0 0 0 9 19 13 21 17 21
H18 0 0 0 0 0 8 18 18 18 38
S18 0 0 0 0 0 14 15 17 12 42
H19 0 0 0 0 0 0 13 22 15 50
S19 0 0 0 0 0 0 19 22 12 47
H20 0 0 0 0 0 0 0 20 11 69
S20 0 0 0 0 0 0 0 21 23 56
